Product_Name,Brand,MRP,Sale_Price,Discount (%),Rating,Reviews_Count,Category,Stock_Status,Discount_Amount
Nykaa Cosmetics X Naagin Hot Sauce Plumping Lip Gloss,Nykaa,539,485.1,10,3.8,116,Makeup,In Stock,53.9
Kay Beauty Hydra Creme Lipstick,Kay,1099,1099,0,4,5954,Makeup,In Stock,0
Charlotte Tilbury Airbrush Flawless Finish Refillable,Charlotte,4950,4950,0,4,2410,Makeup,In Stock,0
M.A.C Studio Fix Fluid SPF 15 Soft Matte Foundation With Hya...,M.A.C,3400,2890,15,4.5,685769,Makeup,In Stock,510
MARS City Paradise Makeup Kit,MARS,479,459.84,4,4,4958,Makeup,In Stock,19.16
Faces Canada Magneteyes Mascara,Faces,299,224.25,25,4.1,33163,Makeup,In Stock,74.75
fwee Lip&Cheek Blurry Pudding Pot,fwee,1341,1206.9,10,3.8,135,Makeup,In Stock,134.1
Maybelline New York Instant Age Rewind Eraser Concealer-Conc...,Maybelline,599,449.25,25,4.5,944169,Makeup,In Stock,149.75
L'Oreal Paris Voluminous Panorama Waterproof Mascara Volumiz...,L'Oreal,849,721.65,15,4,2159,Makeup,In Stock,127.35
Lakme 9 to 5 Eyeconic Liquid Eyeliner,Lakme,276,234.6,15,4.5,119794,Makeup,In Stock,41.4
"Renee Cosmetics Midnight Kohl Pencil, Waterproof, Smudge-pro...",Renee,399,355.11,11,4.1,29649,Makeup,In Stock,43.89
ETUDE Soft Fixing Tint,ETUDE,945,850.5,10,3.8,28,Makeup,In Stock,94.5
"Renee Cosmetics Midnight Kohl Pencil, Waterproof, Smudge-pro...",Renee,399,355.11,11,4.1,29649,Makeup,In Stock,43.89
Flicka Silk Touch 3-In-1 Moisturizer Primer And Sun Care Der...,Flicka,845,794.3,6,4,4240,Makeup,In Stock,50.7
Nykaa Cosmetics So Creme! Creamy Matte Lipstick,Nykaa,214,139.1,35,4.5,4072503,Makeup,In Stock,74.9
Feel Good Club Blender Besties - 7 Makeup Sponges In Jar - 4...,Feel,289,167.62,42,3.8,286,Makeup,In Stock,121.38
